1.a art.一(个)；每一(个)
2.abandon vt.丢弃；放弃，抛弃
3.ability n.能力；能耐，本领
4.able a.有能力的；出色的
5.abnormal a.不正常的；变态的
6.aboard ad.在船(车)上；上船
7.about prep.关于；在…周围
8.above prep.在…上面；高于
9.abroad ad.(在)国外；到处
10.absence n.缺席，不在场；缺乏
11.absent a.不在场的；缺乏的
12.absolute a.绝对的；纯粹的
13.absolutely ad.完全地；绝对地
14.absorb vt.吸收；使专心
15.abstract a.抽象的 n.摘要
16.abundant a.丰富的；大量的
17.abuse vt.滥用；虐待 n.滥用
18.academic a.学院的；学术的
19.academy n.私立中学；专科院校
20.accelerate vt.(使)加快；促进
21.acceleration n.加速；加速度
22.accent n.口音，腔调；重音
23.accept vt.vi.接受；同意
24.acceptable a.可接受的，合意的
25.acceptance n.接受，验收；承认
26.access n.接近；通道，入口
27.accessory n.同谋，从犯；附件
28.accident n.意外的；事故
29.accidental a.偶然的；非本质的
30.accommodate vt.容纳；供应，供给
31.accommodation n.招待设备；预定铺位
32.accompany vt.陪伴，陪同；伴随
33.accomplish vt.达到(目的)；完成
34.accord vt.使一致；给予
35.accordance n.一致；和谐；授予
36.accordingly ad.因此，所以；照着
37.account n.记述；解释；帐目
38.accumulate vt.积累 vi.堆积
39.accuracy n.准确(性)；准确度
40.accurate a.准确的，正确无误的
41.accuse vt.指责；归咎于
42.accustom vt.使习惯
43.accustomed a.惯常的；习惯的
44.ache vi.痛；想念 n.疼痛
45.achieve vt.完成，实现；达到
46.achievement n.完成；成就，成绩
47.acid n.酸；酸的，酸性的
48.acquaintance n.认识；了解；熟人
49.acquire vt.取得；获得；学到
50.acre n.英亩(=6.07亩)
51.across prep.横过；在…对面
52.act vi.行动；见效 n.行为
53.action n.行动；作用；功能
54.active a.活跃的；积极的
55.activity n.活动；活力；行动
56.actor n.男演员；演剧的人
57.actress n.女演员
58.actual a.实际的；现行的
59.actually ad.实际上；竟然
60.acute a.尖的，锐的；敏锐的
61.ad n.广告
62.adapt vt.使适应；改编
63.add vt.添加，附加，掺加
64.addition n.加，加法；附加物
65.additional a.附加的，追加的
66.address n.地址；演说；谈吐
67.adequate a.足够的；可以胜任的
68.adjective n.形容词 a.形容词的
69.adjust vt.调整，调节；校正
70.administration n.管理；管理部门
71.admire vt.钦佩，羡慕，赞赏
72.admission n.允许进入；承认
73.admit vt.承认；准许…进入
74.adopt vt.收养；采用；采取
75.adult n.成年人 a.成年的
76.advance vi.前进；提高 n.进展
77.advanced a.先进的；高级的
78.advantage n.优点，优势；好处
79.adventure n.冒险；惊险活动
80.adverb n.副词
81.advertisement n.广告；公告；登广告
82.advice n.劝告；忠告；意见
83.advisable n.明智的；可取的
84.advise vt.劝告；建议；通知
85.aeroplane n.飞机
86.affair n.事情，事件；事务
87.affect vt.影响；感动
88.affection n.慈爱，爱；爱慕
89.afford vt.担负得起…；提供
90.afraid a.害怕的；担心的
91.Africa n.非洲
92.African a.非洲的 n.非洲人
93.after prep.在…以后；次于
94.afternoon n.下午，午后
95.afterward ad.后来，以后
96.again ad.又一次；而且
97.against prep.倚在；逆，对着
98.age n.年龄；时代 vt.变老
99.agency n.经办；代理；代理处
100.agent n.代理人，代理商
101.aggressive a.侵略的；好斗的
102.ago ad.以前
103.agony n.极度痛苦
104.agree vi.同意；持相同意见
105.agreement n.协定，协议；同意
106.agriculture n.农业，农艺；农学
107.ahead ad.在前；向前；提前
108.aid n.帮助，救护；助手
109.aim vi.瞄准，针对；致力
110.air n.空气；空中；外观
111.aircraft n.飞机，飞行器
112.airline n.航空公司；航线
113.airplane n.飞机
114.airport n.机场，航空站
115.alarm n.惊恐，忧虑；警报
116.alcohol n.酒精，乙醇
117.alike a.同样的，相同的
118.alive a.活着的；活跃的
119.all a.全部的 prep.全部
120.allow vt.允许，准许；任
121.alloy n.合金；(金属的)成色
122.almost ad.几乎，差不多
123.alone a.单独的 ad.单独地
124.along prep.沿着 ad.向前
125.aloud ad.出声地，大声地
126.alphabet n.字母表，字母系统
127.already ad.早已，已经
128.also ad.亦，也；而且，还
129.alter vt.改变，变更；改做
130.alternative n.替换物；取舍，抉择
131.although conj.尽管，虽然
132.altitude n.高，高度；高处
133.altogether ad.完全；总而言之
134.aluminium n.铝
135.always ad.总是，一直；永远
137.amaze vt.使惊奇，使惊愕
138.ambition n.雄心，抱负，野心
139.ambulance n.救护车；野战医院
140.America n.美洲；美国
141.American a.美洲的 n.美国人
142.among prep.在…之中
143.amongst prep在…之中(=among)
144.amount n.总数；数量；和
145.ampere n.安培
146.amplify vt.放大，增强；扩大
147.amuse vt.逗…乐；给…娱乐
148.analyse vt.分析，分解，解析
149.analysis n.分析，分解，解析
150.ancestor n.祖宗，祖先
151.anchor n.锚 vi.抛锚，停泊
152.ancient a.古代的，古老的
153.and conj.和，又，并，则
154.angel n.天使，神差，安琪儿
155.anger n.怒，愤怒 vt.使发怒
156.angle n.角，角度
157.angry a.愤怒的，生气的
158.animal n.动物，兽 a.动物的
159.ankle n.踝，踝节部
160.announce vt.宣布，宣告，发表
161.announcer n.宣告者；播音员
162.annoy vt.使恼怒；打搅
163.annual a.每年的 n.年报
164.another a.再一个的；别的
165.answer vt.回答；响应；适应
166.ant n.蚂蚁
167.anticipate vt.预料，预期，期望
168.anxiety n.焦虑，忧虑；渴望
169.anxious a.忧虑的；渴望的
170.any a.什么，一些；任何的
171.anybody prep.任何人
172.anyhow ad.无论如何
173.anyone pron.任何人
174.anything pron.任何事物；一切
175.anyway ad.无论如何
176.anywhere ad.在什么地方
177.apart ad.相隔；分开；除去
178.apartment n.一套公寓房间
179.apologize vi.道歉，谢罪，认错
180.apology n.道歉，认错，谢罪
181.apparatus n.器械，仪器；器官
182.apparent a.表面上的；明显的
183.appeal vi.&n.呼吁；申述
184.appear vi.出现；来到；似乎
185.appearance n.出现，来到；外观
186.appetite n.食欲，胃口；欲望
187.apple n.苹果，苹果树
188.appliance n.用具，器具，器械
189.applicable a.能应用的；适当的
190.application n.请求，申请；施用
191.apply vt.应用，实施，使用
192.appoint vt.任命，委任；约定
193.appointment n.任命；约定，约会
194.appreciate vt.欣赏；领会；感谢
195.approach vt.向…*近 n.*近
196.appropriate a.适当的，恰当的
197.approval n.赞成，同意；批准
198.approve vt.赞成，称许；批准
199.approximate a.近似的 vt.近似
200.approximately ad.近似地，大约
201.April n.四月
202.Arabian a.阿拉伯的
203.arbitrary a.随心所欲的；专断的
204.architecture n.建筑学；建筑式样
205.area n.面积；地区；领域
206.argue vi.争论，争辩，辩论
207.argument n.争论，辩论；理由
208.arise vi.出现；由…引起
209.arithmetic n.算术，四则运算
210.arm n.臂；臂状物；武器
211.army n.军队；陆军
212.around prep.在…周围
213.arouse vt.引起，唤起；唤醒
214.arrange vt.筹备；整理；调解
215.arrangement n.整理，排列；安排
216.arrest vt.逮捕，拘留；阻止
217.arrival n.到达；到来；到达者
218.arrive vi.到达；来临；达到
219.arrow n.箭；箭状物
220.art n.艺术，美术；技术
221.article n.文章；条款；物品
222.artificial a.人工的；娇揉造作的
223.artist n.艺术家，美术家
224.artistic a.艺术的；艺术家的
225.as conj.当…的时候
226.ash n.灰，灰末；骨灰
227.ashamed a.惭愧(的)；羞耻(的)
228.Asia n.亚洲
229.Asian a.亚洲的 n.亚洲人
230.aside ad.在旁边，到旁边
231.ask vt.问；要求；邀请
232.asleep a.睡着的，睡熟的
233.aspect n.方面；样子，外表
234.assemble vt.集合，召集；装配
235.assembly n.集合；集会；装配
236.assess vt.对(财产等)估价
237.assign vt.指派；分配；指定
238.assignment n.任务，指定的作业
239.assist vt.援助，帮助；搀扶
240.assistant n.助手，助理；助教
241.associate vi.交往 n.伙伴，同事
242.association n.协会，团体；联合
243.assume vt.假定；承担；呈现
244.assure vt.使确信；向…保证
245.astonish vt.使惊讶，使吃惊
246.astronaut n.宇宙航行员，宇航员
247.at prep.在…里；在…时
248.athlete n.运动员；田径运动员
249.Atlantic a.大西洋的 n.大西洋
250.atmosphere n.大气；空气；气氛
251.atmospheric a.大气的；大气层的
252.atom n.原子；微粒；微量
253.atomic a.原子的；原子能的
254.attach vt.缚，系，贴；附加
255.attack vt.&vi.&n.攻击，进攻
256.attain vt.达到，获得，完成
257.attempt vt.尝试，试图 n.企图
258.attend vt.出席；照顾，护理
259.attention n.注意，留心；注意力
260.attentive a.注意的；有礼貌的
261.attitude n.态度，看法；姿势
262.attract vt.吸引；引起，诱惑
263.attraction n.吸引；吸引力；引力
264.attractive a.有吸引力的
265.attribute vt.把…归因于 n.属性
266.audience n.听众，观众，读者
267.August n.八月
268.aunt n.伯母，婶母，姑母
269.aural a.耳的，听觉的
270.Australia n.澳大利亚
271.Australian a.澳大利亚的
272.author n.作者，作家
273.authority n.当局，官方；权力
274.auto n.(口语)汽车
275.automatic a.自动的；机械的
276.automation n.自动，自动化
277.automobile n.汽车，机动车
